Year,biomass_relative_to_msy,total_biomass,spawning_stock_biomass,total_catch,fishing_mortality,exploitation_rate,total_biomass_relative_to_msy,spawning_stock_relative_to_msy,fishing_mortality_relative_to_msy,catch_relative_to_msy
1954.0,16.333043911188707,19591422.15618117,7352613.272450012,87042.50388952639,0.0703893835299101,0.0538844128407089,12.03487446087589,13.50722612364262,0.6124891466695767,1.4371825771176503
1954.2468619246863,16.018849124974192,19244300.051354792,7192512.308015236,86457.71481021986,0.0685700338601513,0.0516677448405015,11.873671185143778,13.236623202404516,0.5726559047932969,1.3826998236892178
1954.4937238493724,21.063697908769026,25344375.438139804,9432936.11601816,115129.98041958826,0.0895483418570171,0.0663757080215853,15.706242948750438,17.39099066225621,0.7158307885005202,1.7825934813667026
1954.740585774059,20.41762275024408,24605520.12733985,9119446.912365643,113009.29495716369,0.0861993144478532,0.0628120338416577,15.315515810438802,16.843626529052514,0.6575596992008892,1.693175001635849
1954.9874476987447,20.361060020749488,24576069.7010204,9069902.951805145,114114.0111352654,0.0853551027772649,0.0611025117464247,15.364570641434002,16.78295423606059,0.6192391452256506,1.6535662992927305
1955.234309623431,17.963225333026607,21729942.01411593,7995108.440290387,106740.5188914448,0.0797258092141882,0.0576480234822762,13.620441699744742,14.800943590857235,0.592541221914579,1.5879299036585437
1955.481171548117,19.346387977758244,23455816.62558557,8604390.361946767,121780.42796200694,0.0909222399460189,0.0664177283662093,14.738734679016105,15.93501622192504,0.6925754338487483,1.8587145099035
1955.7280334728036,19.97357418736081,24270701.017925,8876778.719017401,132782.3451806075,0.0991001770973994,0.0730496883084149,15.288444815838664,16.445823460311665,0.7712953619416572,2.0725599380731623
1955.9748953974893,18.36982928490764,22372111.688440345,8157993.265354337,128619.33627493572,0.0959616134122219,0.0713104118150705,14.127121820135828,15.12000257405595,0.7612025536339485,2.047642079219684
1956.221757322176,16.233153814314626,19577437.990543883,7266595.6273066355,126748.26065124192,0.0962330210624632,0.0665216267374656,12.43545268844327,13.383214319173309,0.7601607572830175,1.95778382668351
1956.4686192468616,19.38214115445531,23117608.193193883,8752088.180247854,167684.98997096918,0.1292825587487042,0.0835240824211329,14.776564998422408,16.008598055229623,1.0159238585509915,2.5148371586427616
1956.715481171548,18.66300458835723,22016098.765391517,8499180.889074685,176937.9593696578,0.1380979746407959,0.0843040428520471,14.160939984899754,15.442307199515582,1.0807378939327956,2.589315689405197
1956.9623430962345,16.185746578780908,18885917.93566792,7432267.190514217,166645.66379623968,0.1313732530803323,0.0764210756647155,12.22382953512458,13.416150275830526,1.0246840182353325,2.3886761054984613
1957.2092050209203,16.068196228004524,18811272.629813597,7386473.600839512,177151.26981083682,0.1395108716635518,0.0816807391848877,12.17225709898518,13.307756007605969,1.0814578966133517,2.491500124438912
1957.4560669456064,16.9338310271524,19943061.76818925,7783139.244374274,198998.77778490173,0.1563156445791864,0.0928017350496485,12.885902500990069,14.006360544527665,1.2042995154592968,2.7504632537892086
1957.702928870293,20.17249303153187,23900747.58989833,9270164.86241991,251972.78179677867,0.1974716334977521,0.1186971425120804,15.420561786652485,16.662926989621948,1.5129107459985631,3.427708545053658
1957.949790794979,17.690624665674203,21088256.725132834,8128269.112419921,234283.62909813444,0.1832259996798582,0.1113646437803888,13.585971027936203,14.593030022726824,1.3966438979516806,3.140945815225684
1958.1966527196653,17.156807520487934,20529763.01158176,7904443.855675897,241679.1871747717,0.1897330209393839,0.1129000385548745,13.238504011248578,14.143475847893503,1.4809928997686452,3.3715025096783444
1958.4435146443516,14.12777505610961,16959922.403133683,6531618.716601149,211357.5916688752,0.1667229377357912,0.0965700824976103,10.9535192790492,11.64095207921795,1.337191305924497,3.088226016748568
1958.6903765690377,17.88145596732356,21536181.731973324,8296136.519393441,283338.90949839936,0.2244616712116172,0.1268455599515288,13.930811236744775,14.72685386601896,1.843288083206804,4.30858644895632
1958.937238493724,14.599673876252709,17641602.192040786,6797607.270726805,244422.24913001337,0.194380066491717,0.1073833733231856,11.429485314110714,12.018212671257302,1.6296872164395426,3.848432149748264
1959.18410041841,17.39823224156158,19601229.84532387,7677071.067742484,288172.6506014795,0.266287390322753,0.1243006947976616,13.118043800129405,14.52334575387482,2.164303328250277,4.519675832415771
1959.4309623430963,16.45626795690595,16960770.323865276,6788781.772949793,264784.98992479715,0.286151660607035,0.1122701453083797,11.838270713568896,13.959902377027303,2.2491130579966896,4.091343852932015
1959.6778242677824,22.88392976270509,21705034.866752587,8877619.04493496,358936.82757218904,0.4387402389364729,0.149809967151259,15.784004724975375,19.67788963158249,3.368111614649059,5.470726708525617
1959.9246861924687,19.712833879043885,17294620.06423854,7227614.512736335,302282.6069903882,0.4083918098897625,0.1243421702410265,13.090891855839471,17.14902056632226,3.0807901357470717,4.549528843318104
1960.1715481171548,21.030423841870707,17919504.612104766,7531596.49740224,320984.208786502,0.4584838505906667,0.1301570861707648,13.82178519943961,18.341774785246184,3.4572118521829025,4.802016252576522
1960.418410041841,23.88177030763361,20159030.48108477,8462164.674640598,365431.7724446238,0.5436065476063363,0.1459735074477569,15.706539864239405,20.8078956146792,4.121735301105197,5.447959469070579
1960.6652719665271,20.01611103741855,16732299.911699468,7014415.811974008,307079.69476013724,0.4753883782826552,0.120768833759287,13.173451582610388,17.42197280122391,3.623176026899019,4.561704714671712
1960.9121338912132,22.05359207544745,18250166.738901485,7640081.404609957,339242.96848561347,0.5461733116796628,0.1312767617343345,14.52490829253722,19.175208351180476,4.182944819318241,5.021052743817268
